,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,source_id,behavior,team_id,external_id,external_owner,external_type,quantity,reference_designator,related_id,sort_order
20,,136BE975096A4BEDA92390843422E43F,136BE975096A4BEDA92390843422E43F,2017-12-03 20:35:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-12-03 20:35:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,136BE975096A4BEDA92390843422E43F,95475AE006E7415794BDC93808DC04D2,0EDAA4188E4C4BA981FD4518B5C5DDAD,fixed,,,SofTech.Mechanical.SolidWorks,,1,,373E82A7190C4FA9846F542812F6844C,15
21,,153E3BD26FE1462ABA7D274CD57C8158,153E3BD26FE1462ABA7D274CD57C8158,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,153E3BD26FE1462ABA7D274CD57C8158,95475AE006E7415794BDC93808DC04D2,4C40CCBC9E864E9CA7BE8A93423BD362,fixed,,,SofTech.Mechanical.SolidWorks,,2,,EAE86DDE8FF4475CAB9AF229558B7EF4,50
22,,184EAA0914744C968EDA8D183F91C2D0,184EAA0914744C968EDA8D183F91C2D0,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,184EAA0914744C968EDA8D183F91C2D0,95475AE006E7415794BDC93808DC04D2,6020DB29814C4D838E60D315A1C95E8C,fixed,,,SofTech.Mechanical.SolidWorks,,1,,11BB52561B524B27A3970BC7188C6854,45
23,,1997DC97D6014BAD802CA1626C58AD37,1997DC97D6014BAD802CA1626C58AD37,2021-03-15 21:02:57.503,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:02:57.610,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,1997DC97D6014BAD802CA1626C58AD37,5C07EB829D4241F6BB884952960FAF58,793E1C139E074B8395173423026084C8,float,,,,,1,U1,3566D143207046E2BBF63708012F4C97,65
24,,19B6F298797D409BB0EC1A18CF619BAF,19B6F298797D409BB0EC1A18CF619BAF,2021-03-15 21:02:57.503,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:02:57.610,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,19B6F298797D409BB0EC1A18CF619BAF,5C07EB829D4241F6BB884952960FAF58,793E1C139E074B8395173423026084C8,float,,,,,1,J3,B7FDD251BCAD40F29325E48C7F99D385,15
25,,1A8C30B6E9C04E98AB98C6C32FE0FF50,1A8C30B6E9C04E98AB98C6C32FE0FF50,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,1A8C30B6E9C04E98AB98C6C32FE0FF50,95475AE006E7415794BDC93808DC04D2,83890B1872744031BBB8EC2DBC37D5C6,fixed,,,,,10,"BOTSTEP-A, BOTSTEP-B, BOTSTEP-X, BOTSTEP-Y, BOTSTEP-Z",5C2D1B651E4442819BAD4C4818EDA25A,155
26,,1B1969D361784404A9751AA7719ED9F0,1B1969D361784404A9751AA7719ED9F0,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,1B1969D361784404A9751AA7719ED9F0,95475AE006E7415794BDC93808DC04D2,DFB575A241DC456F8D4FEE188DF5BE3E,hard_fixed,,,,,7,"R1, R2, R3, R4, R5, R6, R8",C7F7F43D7CC148B6B8A2C3E204A6A631,20
27,,1D038AEF7A6647A7B602567B0CFEC70B,1D038AEF7A6647A7B602567B0CFEC70B,2021-03-15 21:02:57.503,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:02:57.610,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,1D038AEF7A6647A7B602567B0CFEC70B,5C07EB829D4241F6BB884952960FAF58,793E1C139E074B8395173423026084C8,float,,,,,1,J2,FDCE5037EA0848FFB80989F9BBD7D987,50
28,,1D5213212611456E82CB0D79865F3E27,1D5213212611456E82CB0D79865F3E27,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,1D5213212611456E82CB0D79865F3E27,95475AE006E7415794BDC93808DC04D2,01B2F67D451D491D84FD5209F44A8F35,fixed,,,,,6,"C1,  C2,  C3,  C4,  C6,  C7",F3B40B54AB764C70A8DAF0CBD8749356,10
29,,1E16884A2B1247DC9B6DBB2BDF0A8643,1E16884A2B1247DC9B6DBB2BDF0A8643,2021-03-15 21:02:57.307,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:02:57.347,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,1E16884A2B1247DC9B6DBB2BDF0A8643,5C07EB829D4241F6BB884952960FAF58,5F750EA8888A402B831E8EEE6339812E,float,,,SofTech.Mechanical.SolidWorks,,2,,9B9C1A8A78BE478DBF0E2F8AE6C949FC,15
