,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,team_id,description,has_files,item_number,name,unit,unit_price,state,manufacturer,ce_latest_datasheet,ce_mfr_name,ce_object_id,ce_source,ce_mfr_part_number,indexed_on
20,,"MSTBV2,5/4-GF-5,08BEIGE",32876490770D4FAB9CEB18EE6C189FE2,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,32876490770D4FAB9CEB18EE6C189FE2,49B8F2B903D04A84AEA00050636514B9,,"Base strip - MSTBV 2,5/ 4-GF-5,08 BEIGE - 1911350",0,"MSTBV2,5/4-GF-5,08BEIGE",,,,Released,C87F8A76F4394D7B99A4F5E4C4C35F2B,,,1349824492,1,"MSTBV2,5/4-GF-5,08BEIGE",
21,,MCR01MZSD7501,329A2EB2989F401FA588B094307D66BE,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,329A2EB2989F401FA588B094307D66BE,49B8F2B903D04A84AEA00050636514B9,,Thick film chip resistor,0,MCR01MZSD7501,,,,Released,942D5E4A8C9C464CAA7FD5ED389DAD68,,,816752102,1,MCR01MZSD7501,
22,,USB-A-S-W-VU-RC,348B74D3E34A46C3A19C11541401FD79,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,348B74D3E34A46C3A19C11541401FD79,49B8F2B903D04A84AEA00050636514B9,,"Single, vertical, upright, through holes",0,USB-A-S-W-VU-RC,,,,Released,9B6DA7934D76442C901CA46AB3907FB7,,,1715542639,1,USB-A-S-W-VU-RC,
23,,CLS-RR11A125500B,35EC5FA7773744B4A65F4D69EAA47339,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,35EC5FA7773744B4A65F4D69EAA47339,49B8F2B903D04A84AEA00050636514B9,,Blue LED illuminated rocker switch 10A at 125VAC,0,CLS-RR11A125500B,,,,Released,B59F1D2712C64610840CB0055D748AEA,,,1675991908,1,CLS-RR11A125500B,
24,,"MSTBVA2,5/2-G-5.08YE",3AB0CCD5FC9A4685B799AF7F2E34ADA9,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,3AB0CCD5FC9A4685B799AF7F2E34ADA9,49B8F2B903D04A84AEA00050636514B9,,"Printed-circuit board connector - MSTBVA 2,5/ 2-G-5.08 YE - 1938090",0,"MSTBVA2,5/2-G-5.08YE",,,,Released,C87F8A76F4394D7B99A4F5E4C4C35F2B,,,1475915828,1,"MSTBVA2,5/2-G-5.08YE",
25,,LTR18EZPD22R0,4D43CF0B665B4D49ACBC62A11DFBCBEE,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,4D43CF0B665B4D49ACBC62A11DFBCBEE,49B8F2B903D04A84AEA00050636514B9,,High Power Chip Resistors < Wide Terminal type LTR Series,0,LTR18EZPD22R0,,,,Released,942D5E4A8C9C464CAA7FD5ED389DAD68,,,1677235245,1,LTR18EZPD22R0,
26,,22255C104MAZ4A,4E52A9119DA748219EBDAACD04C92394,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,4E52A9119DA748219EBDAACD04C92394,49B8F2B903D04A84AEA00050636514B9,,".1  uF, X7R, 10%, 50V",0,22255C104MAZ4A,,,,Released,70157908D11F4C92893E4C655B3E8CC2,,,1876955473,1,22255C104MAZ4A,
27,,93395A218,4FF7726D133249F08FB9D3E11EE5E127,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,4FF7726D133249F08FB9D3E11EE5E127,49B8F2B903D04A84AEA00050636514B9,,"Type 316 Stainless Steel Flat-Head Socket Cap Screw, M3 Size, 35mm Length, .50mm Pitch",0,93395A218,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
28,,91290A171,52D0EC9AFEAA4B24816D6C9D495DDFDD,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,52D0EC9AFEAA4B24816D6C9D495DDFDD,49B8F2B903D04A84AEA00050636514B9,,"Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 31mm Length, 0.50mm Pitch",0,91290A171,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
29,,CRCW1218270RFKEK,5D0273BE501843F8B9F55367C9191ADA,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,5D0273BE501843F8B9F55367C9191ADA,49B8F2B903D04A84AEA00050636514B9,,Resistor SMT 270ohm 1% 1W,0,CRCW1218270RFKEK,,,,Released,F74C0FDEAAB7450EAFD17844874D6445,,,2042532142,1,CRCW1218270RFKEK,
30,,91290A120,5DE9B01511ED47FAB627D3E2608D496F,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,5DE9B01511ED47FAB627D3E2608D496F,49B8F2B903D04A84AEA00050636514B9,,"Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 16mm Length, 0.50mm Pitch",0,91290A120,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
31,,1040310811,6223A65F50304627985407F7BD150EB4,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,6223A65F50304627985407F7BD150EB4,49B8F2B903D04A84AEA00050636514B9,,"SD Card Slot, Push In / Push Out, Reverse",0,1040310811,,,,Released,EADDE22370354EE1BE9AA4C69FE1D660,,,,,,
32,,XSFC00022000J,667938B7471E4DD2954986D2C4BB83A8,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,667938B7471E4DD2954986D2C4BB83A8,49B8F2B903D04A84AEA00050636514B9,,Resistor SMT 6.8K 5% 1/16W,0,XSFC00022000J,,,,Released,F74C0FDEAAB7450EAFD17844874D6445,,,1175631361,1,XSFC00022000J,
33,,A4982SETTR-T,69CCECBB2CBC4839B4E94C4B8A62D6C2,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,69CCECBB2CBC4839B4E94C4B8A62D6C2,49B8F2B903D04A84AEA00050636514B9,,Controller Stepper Motor,0,A4982SETTR-T,,,,Released,F5095ED8D6254FB5AFD126562E227244,,,2114953003,1,A4982SETTR-T,
34,,93395A212,6A2419D2ED494DEB9DBA665AFE06549D,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,6A2419D2ED494DEB9DBA665AFE06549D,49B8F2B903D04A84AEA00050636514B9,,"Type 316 Stainless Steel Flat-Head Socket Cap Screw, M3 Size, 18mm Length, .50mm Pitch",0,93395A212,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
35,,97334A112,6CEBADCBE8154052B9B7B3299C2B3D50,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,6CEBADCBE8154052B9B7B3299C2B3D50,49B8F2B903D04A84AEA00050636514B9,,"Nylon Socket Head Cap Screw 4-40 Thread, 5/8"" Length, Black",0,97334A112,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
36,,70543-0298,705D84F8E2094D059B8A77DC24945860,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,705D84F8E2094D059B8A77DC24945860,49B8F2B903D04A84AEA00050636514B9,,Vertical header with latch & no peg 2.54/.100 centers,0,70543-0298,,,,Released,EADDE22370354EE1BE9AA4C69FE1D660,,,1984202220,1,70543-0298,
37,,12105G224ZAT4A,71228F27228B4CA1AA53CEC061B67513,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,71228F27228B4CA1AA53CEC061B67513,49B8F2B903D04A84AEA00050636514B9,,".22  uF, Y5V, -19.2%, 50V SMT",0,12105G224ZAT4A,,,,Released,70157908D11F4C92893E4C655B3E8CC2,,,1920439795,1,12105G224ZAT4A,
38,,BLM18GG471SN1D,73D7EB550EFD49B682A2D305ACFCE385,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,73D7EB550EFD49B682A2D305ACFCE385,49B8F2B903D04A84AEA00050636514B9,,"1 FUNCTIONS, 0.2 A, FERRITE CHIP",0,BLM18GG471SN1D,,,,Released,5431EEF6A7E744D6AE910852B0FCE045,,,2060926444,1,BLM18GG471SN1D,
39,,FDV301N,78139EE17BF244B0BDF447D06B241781,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,78139EE17BF244B0BDF447D06B241781,49B8F2B903D04A84AEA00050636514B9,,"FDV301N Digital FET, N-Channel",0,FDV301N,,,,Released,6FB1A02EAD954A36B8518F8B44074FAA,,,1464124316,1,FDV301N,
40,,MCH312F104KK,7947731DB0E849DBB273FF619CE4F65E,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,7947731DB0E849DBB273FF619CE4F65E,49B8F2B903D04A84AEA00050636514B9,,CAP805 Multi-layer ceramic chip capacitor,0,MCH312F104KK,,,,Released,942D5E4A8C9C464CAA7FD5ED389DAD68,,,785708239,1,MCH312F104KK,
41,,MCP4018T-503E/LT,796F99341905424A942C2C400C7DC407,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,796F99341905424A942C2C400C7DC407,49B8F2B903D04A84AEA00050636514B9,,7-Bit Single I2C™ Digital POT with Volatile Memory in SC70,0,MCP4018T-503E/LT,,,,Released,CC4527473D6A499DA9B07ED3C36E6C18,,,1983982729,1,MCP4018T-503E/LT,
42,,94900A005,79B408412FD24934905271C0B0BAE5CB,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,79B408412FD24934905271C0B0BAE5CB,49B8F2B903D04A84AEA00050636514B9,,"Nylon 6/6 Hex Nut 4-40 Thread Size, 17/64"" Wide, 3/32"" High, Black",0,94900A005,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
43,,SN74AHC125D,7FFEAC27BA524644BBDCAEDB34D1CC93,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,7FFEAC27BA524644BBDCAEDB34D1CC93,49B8F2B903D04A84AEA00050636514B9,,Quadruple Bus Buffer Gate with 3-State Outputs,0,SN74AHC125D,,,,Released,A6A2DDC1DE704C0497CE2909CD8810AC,,,1501508536,1,SN74AHC125D,
44,,ATMEGA8U2-MU,831064A225C34F4CB1472C10CA83D03E,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,831064A225C34F4CB1472C10CA83D03E,49B8F2B903D04A84AEA00050636514B9,,8-bit Microcontroller with 8/16/32K Bytes of ISP Flash and USB Controller,0,ATMEGA8U2-MU,,,,Released,59F8AC3CA16C48B396F39F55497B5F39,,,1663129709,1,ATMEGA8U2-MU,
45,,SV4,8756C3D8EC8149EEA0359F00F2BE3ADD,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,8756C3D8EC8149EEA0359F00F2BE3ADD,49B8F2B903D04A84AEA00050636514B9,,MICRO BUZZER 5V DC / 20mA PCB TYPE - SEALED,0,SV4,,,,Released,527645EA1C6646F5895C0A239E70C96F,,,,,,
46,,"PCA9533DP/01,118",88D201E945A448B1BBB9831A345EB552,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,88D201E945A448B1BBB9831A345EB552,49B8F2B903D04A84AEA00050636514B9,,PCA95334-bit I2C-bus LED dimmer,0,"PCA9533DP/01,118",,,,Released,6FB1A02EAD954A36B8518F8B44074FAA,,,1670462059,1,"PCA9533DP/01,118",
47,,7804K136,8B96D650F42549078CDF9763E16B8CC0,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,8B96D650F42549078CDF9763E16B8CC0,49B8F2B903D04A84AEA00050636514B9,,"Miniature High-Precision Stainless Steel Ball Bearing - ABEC-5, Flanged Double Shielded, for 5 mm Shaft Diameter, 10 mm OD",0,7804K136,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
